# Wordlist



# DATA
ID	DOCULECT	CONCEPT	GLOSSID	IPA	WANGID	COGID	SWGLOSS	SWID	PROTO
219	Wenzhou	blood	9	血	0	47	blood	576	血
220	Taibei	blood	9	hueh32血	0	47	blood	576	血
221	Wuhan	blood	9	血	0	47	blood	576	血
222	Taiyuan	blood	9	血	0	47	blood	576	血
223	Yuci	blood	9	血	0	47	blood	576	血
224	Changsha	blood	9	血	0	47	blood	576	血
225	Shuangfeng	blood	9	血	0	47	blood	576	血
#
2736	Guangzhou	blow	106	吹	0	673	blow (V)	585	吹
2737	Suzhou	blow	106	吹	0	673	blow (V)	585	吹
2738	Meixian	blow	106	吹[风]	0	673	blow (V)	585	吹
2739	Meixian	blow	106	歕[人]	1	672	blow (V)	585	歕
2740	Nanchang	blow	106	吹	0	673	blow (V)	585	吹
2741	Fuzhou	blow	106	吹	0	673	blow (V)	585	吹
2742	Fuzhou	blow	106	歕	1	672	blow (V)	585	歕
2743	Ningxia	blow	106	吹	0	673	blow (V)	585	吹
2744	Lianchang	blow	106	吹[风]	0	673	blow (V)	585	吹
2745	Lianchang	blow	106	[]pha33气	1	672	blow (V)	585	歕
2746	Ningbo	blow	106	吹	0	673	blow (V)	585	吹
2747	Yingshan	blow	106	吹	0	673	blow (V)	585	吹
2748	Chengdu	blow	106	吹	0	673	blow (V)	585	吹
2749	Zhanping	blow	106	歕	1	672	blow (V)	585	歕
2750	Shanghai	blow	106	吹	0	673	blow (V)	585	吹
2751	Shanghai_B	blow	106	吹	0	673	blow (V)	585	吹
2752	Xiamen	blow	106	歕	1	672	blow (V)	585	歕
2753	Anyi	blow	106	吹	0	673	blow (V)	585	吹
2754	Beijing	blow	106	吹	0	673	blow (V)	585	吹
2755	Wenzhou	blow	106	吹	0	673	blow (V)	585	吹
2756	Taibei	blow	106	pun13[口盆]	1	672	blow (V)	585	歕
2757	Wuhan	blow	106	吹	0	673	blow (V)	585	吹
2758	Taiyuan	blow	106	吹	0	673	blow (V)	585	吹
2759	Yuci	blow	106	吹	0	673	blow (V)	585	吹
2760	Changsha	blow	106	吹	0	673	blow (V)	585	吹
2761	Shuangfeng	blow	106	吹	0	673	blow (V)	585	吹
#
226	Guangzhou	bone	10	骨	0	49	bone	614	骨
227	Suzhou	bone	10	骨头	0a	48	bone	614	骨頭
